subject,session,mean_timing,median_timing,std_timing,cv_timing,iqr_timing,min_timing,max_timing,range_timing,n_outliers,outlier_rate,q25,q75,n_keystrokes,rt_trend,early_vs_late_ratio,acceleration,recovery_rate,variability_trend,outlier_clustering,inferred_state
s002,1,0.22348354838709678,0.12974999999999998,0.24161781827917742,1.0811388081321491,0.14895,-0.118,1.6055,1.7235,112,0.07225806451612904,0.0839,0.23285,1550,-3.8146292269948075e-05,0.8192027354781235,0.30319134366925066,-9.842205138913615e-05,-0.08039223563378073,-9.700636942675159,2
s002,2,0.17232445161290322,0.1115,0.17440344844046254,1.012058560172685,0.10110000000000001,-0.0306,1.441,1.4716,85,0.054838709677419356,0.081,0.1821,1550,-3.232182634992593e-05,0.8045187810984513,0.2159470284237726,-3.206859446820474e-05,-0.07836864475772981,-14.280373831775702,0
s002,3,0.15595799999999999,0.1051,0.14426933914260912,0.9250465772581841,0.09677499999999999,-0.0588,1.736,1.7948,70,0.04516129032258064,0.0803,0.17707499999999998,1550,-1.2634600190293759e-05,0.9185558587907562,0.18734127906976747,-1.0939966950500843e-05,-0.06617125962541485,-13.669642857142858,0
s002,4,0.1372789677419355,0.1024,0.11344283128760208,0.8263611446999796,0.07755,-0.0847,0.878,0.9627,89,0.05741935483870968,0.078475,0.156025,1550,-3.357491109156152e-07,0.9822224791251806,0.15921821705426356,-1.5683374451860312e-05,0.010137385477438782,-12.48360655737705,1
s002,5,0.13201883870967743,0.0971,0.12199994238472907,0.924103101299927,0.08215000000000001,-0.0916,1.1874,1.279,78,0.05032258064516129,0.0702,0.15235,1550,5.084914042930226e-06,1.0205891024496878,0.156672157622739,4.2517167951781524e-05,-0.013428658537125146,-14.634615384615385,1
s002,6,0.11919993548387098,0.0909,0.09439946353727266,0.7919355930729739,0.07255,-0.1388,0.6668,0.8056,95,0.06129032258064516,0.070275,0.142825,1550,1.9054416040910507e-06,1.0029040089722536,0.13555206718346255,-1.8451285501787942e-05,-0.01698156722663928,-13.172413793103448,1
s002,7,0.13561729032258066,0.1018,0.11004168511221131,0.8114074056712186,0.07947500000000002,-0.1742,0.9154,1.0896,98,0.06322580645161291,0.0774,0.15687500000000001,1550,1.3468727300601914e-06,0.985094725248651,0.156640826873385,-1.4145283743616394e-05,-0.008690929041930737,-12.373983739837398,1
s002,8,0.16286090322580643,0.1354,0.12759022495356104,0.7834258499156702,0.086675,-0.0826,0.9202,1.0028000000000001,96,0.06193548387096774,0.0998,0.186475,1550,-2.579744486215068e-06,0.9824329943979639,0.19208346253229971,-7.969581570650404e-05,-0.018156489328929187,-14.231481481481481,1
s003,1,0.17335864516129035,0.1299,0.15357320271780203,0.8858647730555782,0.10092500000000001,-0.0646,1.2881,1.3527,72,0.04645161290322581,0.09985,0.200775,1550,-5.044999716625711e-05,0.712820097225948,0.21156253229974162,-4.072063118872518e-05,-0.07468976069071759,-16.593406593406595,0
s003,2,0.14529290322580646,0.1186,0.13675840374469528,0.9412535605995397,0.07644999999999999,-0.0761,1.4988,1.5749,47,0.03032258064516129,0.085925,0.162375,1550,-3.0174931642749627e-05,0.7925136402960755,0.18275736434108528,-9.917003219877135e-05,-0.04266443640878252,-21.08955223880597,0
s003,3,0.1347543870967742,0.12085,0.11732846731311077,0.8706773795162018,0.069125,-0.0955,1.1452,1.2407,62,0.04,0.0863,0.155425,1550,-1.4968826773638041e-05,0.8998698353391001,0.17807881136950904,-1.5536046382729656e-05,-0.019660760015950796,-22.984848484848484,0
s003,4,0.12479264516129034,0.11935000000000001,0.1123184063741223,0.900033060409091,0.08427499999999999,-0.1272,1.0504,1.1776,48,0.03096774193548387,0.0721,0.156375,1550,-1.6211222645066047e-05,0.8346630651711627,0.1774737726098191,-2.326224597386477e-05,-0.046139694318022215,-28.80392156862745,0
s003,5,0.11801780645161289,0.11635000000000001,0.1119384593845292,0.9484798461372629,0.079875,-0.1189,1.3781,1.497,45,0.02903225806451613,0.069025,0.1489,1550,-1.5172587994363785e-05,0.8928703013314937,0.17684418604651167,-3.1424631931178544e-05,-0.02641112148178565,-34.18181818181818,0
s003,6,0.11530270967741936,0.1229,0.10119840011683008,0.8776682068595091,0.08990000000000001,-0.1523,0.8821,1.0344,57,0.036774193548387096,0.06605,0.15595,1550,4.356597241509353e-06,1.0023336007922616,0.1808646640826873,-8.16809614774828e-05,0.009685848350839896,-25.583333333333332,1
s003,7,0.11818929032258065,0.13005,0.11377440786619288,0.962637519170692,0.11155000000000001,-0.2358,1.0977,1.3335,68,0.04387096774193548,0.06455,0.1761,1550,-3.2621735843359635e-06,0.946320030690452,0.2139997416020672,-3.6898044098653634e-05,-0.0040602400998762805,-18.938271604938272,1
s003,8,0.12317535483870967,0.12865,0.1164871672249776,0.9456942233556832,0.10495000000000002,-0.177,1.185,1.362,46,0.02967741935483871,0.0713,0.17625000000000002,1550,-8.923469727468845e-06,0.9601485976212236,0.20807861757105942,-4.502821581684073e-05,-0.020495204237699127,-29.137254901960784,0
s004,1,0.17270516129032257,0.1127,0.17743604270491506,1.027386871315155,0.1065,-0.0472,1.3518,1.3989999999999998,97,0.06258064516129032,0.0818,0.1883,1550,-5.200783619540029e-05,0.7192875805677506,0.22687603359173125,-7.848293774474545e-05,-0.09581605425282833,-11.928,0
